beta,gamma
0.88567912578582764,0.11189227551221848
0.79957854747772217,0.090662762522697449
0.7252076268196106,0.073769614100456238
0.78743278980255127,0.13180573284626007
0.85359245538711548,0.12487307190895081
0.76024329662322998,0.11645966023206711
0.7543148398399353,0.098108947277069092
0.80358076095581055,0.098021909594535828
0.81421154737472534,0.10945266485214233
0.77451109886169434,0.11786891520023346
0.75534737110137939,0.082693740725517273
0.81062978506088257,0.10777837783098221
0.87959921360015869,0.12485399097204208
0.80634021759033203,0.11570167541503906
0.80321389436721802,0.099450163543224335
0.81623369455337524,0.081119388341903687
0.82811391353607178,0.10369645804166794
0.91975390911102295,0.11449935287237167
0.78552961349487305,0.10733069479465485
0.76263219118118286,0.11074039340019226
0.82847005128860474,0.10295731574296951
0.75736820697784424,0.13175500929355621
0.81963324546813965,0.11314981430768967
0.81068217754364014,0.12082107365131378
1.1232683658599854,0.11339098960161209
0.79006671905517578,0.10260710120201111
0.79320192337036133,0.10900434106588364
0.75870972871780396,0.1030653789639473
0.81708568334579468,0.1218823716044426
0.74810194969177246,0.10291664302349091
0.81655555963516235,0.11466557532548904
0.92882931232452393,0.10898780822753906
0.77406036853790283,0.10999395698308945
0.81873172521591187,0.10715384036302567
0.80080157518386841,0.10928326845169067
0.73478716611862183,0.094793051481246948
0.79128539562225342,0.10942415148019791
0.95761376619338989,0.10163592547178268
0.84288936853408813,0.11617556214332581
0.91940158605575562,0.11280031502246857
0.74089008569717407,0.10937352478504181
0.85577332973480225,0.11669366806745529
0.94737756252288818,0.13740000128746033
0.82022202014923096,0.11292406171560287
0.78350681066513062,0.096070632338523865
0.7795025110244751,0.11910094320774078
0.80339395999908447,0.10626909881830215
0.81234323978424072,0.1219462975859642
0.86572206020355225,0.11626054346561432
0.78871554136276245,0.11665909737348557
0.80895215272903442,0.094489604234695435
0.79885727167129517,0.10909400135278702
0.72024190425872803,0.097094006836414337
0.83087873458862305,0.11499400436878204
0.82765316963195801,0.09982503205537796
0.80425512790679932,0.10976424068212509
0.86200606822967529,0.12130507081747055
0.77937042713165283,0.10199666023254395
0.81189060211181641,0.11322403699159622
0.77752578258514404,0.11324270069599152
0.87705510854721069,0.13304901123046875
0.86001169681549072,0.13459795713424683
0.93826895952224731,0.15522998571395874
0.77279913425445557,0.10723597556352615
0.80307334661483765,0.099516183137893677
0.72469723224639893,0.11173795908689499
0.75100541114807129,0.094129033386707306
0.79268825054168701,0.11187450587749481
0.87096899747848511,0.12016025930643082
0.73796933889389038,0.11487077921628952
0.84271889925003052,0.094993099570274353
0.8156123161315918,0.1165839359164238
0.81997179985046387,0.09863821417093277
0.88073968887329102,0.11158879101276398
0.77485686540603638,0.10376694798469543
0.76515877246856689,0.098683282732963562
0.75232088565826416,0.10743143409490585
0.82430565357208252,0.11305737495422363
0.82461309432983398,0.11575721204280853
0.73439633846282959,0.10861357301473618
0.87274926900863647,0.13197444379329681
0.82200914621353149,0.090873725712299347
0.73453909158706665,0.10254290699958801
0.75970578193664551,0.10889266431331635
0.94869709014892578,0.12150079756975174
0.7668641209602356,0.11532199382781982
0.84339267015457153,0.087117217481136322
0.859782874584198,0.11988344043493271
0.84025591611862183,0.11715814471244812
0.77227205038070679,0.11427704244852066
0.75829786062240601,0.10129018127918243
0.82464522123336792,0.12000032514333725
0.82317548990249634,0.12256395071744919
0.76108527183532715,0.1051768884062767
0.80747640132904053,0.10970059037208557
0.81765508651733398,0.11406630277633667
0.83615243434906006,0.10304779559373856
0.77360278367996216,0.099087454378604889
0.76648056507110596,0.094685174524784088
0.93981599807739258,0.12608842551708221
0.8694223165512085,0.10673477500677109
0.80966919660568237,0.10756849497556686
0.76531058549880981,0.086931116878986359
0.7426602840423584,0.10329228639602661
0.85423392057418823,0.12725093960762024
0.88288009166717529,0.11146903783082962
0.83229070901870728,0.10865794122219086
0.73982292413711548,0.082486666738986969
0.84552878141403198,0.11098887771368027
0.77448773384094238,0.1168835461139679
0.77537846565246582,0.10618177801370621
0.78628510236740112,0.10987896472215652
0.93019694089889526,0.10927237570285797
0.76648008823394775,0.098023198544979095
0.84957468509674072,0.12615130841732025
0.73767554759979248,0.10623279213905334
0.85635381937026978,0.11959458887577057
0.75835567712783813,0.11546701937913895
0.80198526382446289,0.11814830452203751
0.82755964994430542,0.093839928507804871
0.75644153356552124,0.08360222727060318
0.85808926820755005,0.12201449275016785
0.83101904392242432,0.10153781622648239
0.89889687299728394,0.10500382632017136
0.84111595153808594,0.11728927493095398
0.84982991218566895,0.14545692503452301
0.80325698852539062,0.09848581999540329
0.80845081806182861,0.11574409902095795
0.82706105709075928,0.12429290264844894
0.74163556098937988,0.10937356203794479
0.87566840648651123,0.11093585193157196
0.839924156665802,0.097320348024368286
0.86224067211151123,0.12928164005279541
0.79781931638717651,0.11533604562282562
0.79817348718643188,0.10119660198688507
0.82317829132080078,0.11291999369859695
0.84994989633560181,0.11040456593036652
0.83388209342956543,0.11520762741565704
0.83056938648223877,0.11842721700668335
